rank,team,sp_plus,fpi,elo,returning_prod,talent,epa_net,sp_plus_norm,fpi_norm,elo_norm,returning_norm,talent_norm,epa_norm,composite,offense.rating,defense.rating,coaching_flag,sagarin,sagarin_norm
22,Iowa,14.6,10.569,1805.9,0.342,,,14.6,10.569,10.196666666666669,-1.525294117647058,0.0,0.0,10.5006069120472,30.8,16.8,,85.4,8.972674020891901
23,Clemson,13.1,13.421,1678.5,0.414,,,13.1,13.421,5.95,-0.08529411764705896,0.0,0.0,10.382588818095268,29.8,17.1,,81.63,7.025016018080094
24,South Carolina,12.6,11.692,1637.9,0.69,,,12.6,11.692,4.596666666666669,5.43470588235294,0.0,0.0,10.097269189834384,30.2,18.1,,84.2,8.352729829015464
25,SMU,12.1,11.117,1746.4,0.569,,,12.1,11.117,8.213333333333336,3.0147058823529402,0.0,0.0,9.794784187065542,32.5,20.1,,83.06,7.76378284673285
26,Auburn,11.5,12.007,1619.0,0.144,,,11.5,12.007,3.966666666666667,-5.48529411764706,0.0,0.0,9.323577348166305,28.5,17.3,New HC: Alex Golesh (experienced_hc) | adj=+1.5pts,84.38,8.445721457796926
27,Louisville,11.1,9.454,1674.3,0.348,,,11.1,9.454,5.809999999999999,-1.405294117647059,0.0,0.0,8.409220778276849,30.7,19.8,,82.09,7.262661291632732
28,Utah,9.8,8.451,1833.2,0.679,,,9.8,8.451,11.106666666666667,5.214705882352942,0.0,0.0,8.393212458373283,31.9,22.1,New HC: Morgan Scalley (first_time_hc) | adj=-2.0pts,81.6,7.009517413283183
29,Vanderbilt,9.8,8.986,1766.0,0.354,,,9.8,8.986,8.866666666666667,-1.285294117647059,0.0,0.0,7.904641241255489,33.3,24.2,,80.09,6.229420971838672
30,Nebraska,9.3,8.842,1540.6,0.463,,,9.3,8.842,1.3533333333333304,0.8947058823529419,0.0,0.0,7.2767296634739465,30.0,20.7,,80.57,6.477398648589241
31,Florida State,9.1,9.319,1539.2,0.401,,,9.1,9.319,1.3066666666666682,-0.3452941176470581,0.0,0.0,6.998025489885177,29.8,20.4,,77.72,5.00503119288271
32,Arizona,9.5,7.155,1631.6,0.649,,,9.5,7.155,4.386666666666664,4.614705882352942,0.0,0.0,6.844752361181629,31.1,21.2,,77.7,4.9946987896847705
33,Illinois,10.4,6.315,1566.5,0.211,,,10.4,6.315,2.216666666666667,-4.145294117647059,0.0,0.0,6.579857369488155,32.0,22.1,,81.12,6.7615397365326135
34,Houston,7.4,7.12,1508.4,0.812,,,7.4,7.12,0.280000000000003,7.874705882352942,0.0,0.0,6.193762027377416,30.9,23.1,,78.71,5.516485151180766
35,Kansas State,9.2,5.057,1621.8,0.714,,,9.2,5.057,4.059999999999999,5.914705882352941,0.0,0.0,6.097142829697954,32.5,23.6,New HC: Collin Klein (first_time_hc) | adj=-1.5pts,77.98,5.139352434455939
36,Virginia,8.1,7.895,1595.9,0.095,,,8.1,7.895,3.19666666666667,-6.465294117647058,0.0,0.0,6.0318651236837475,26.9,18.9,,77.43,4.855211346512575
37,TCU,9.4,6.366,1619.0,0.224,,,9.4,6.366,3.966666666666667,-3.8852941176470583,0.0,0.0,5.993350341743299,31.4,21.8,,76.92,4.5917350649650865
38,Virginia Tech,8.6,7.384,1417.4,0.367,,,8.6,7.384,-2.7533333333333303,-1.0252941176470587,0.0,0.0,5.795834509794386,30.7,21.9,New HC: James Franklin (experienced_hc) | adj=+2.5pts,77.49,4.88620855610639
39,Pittsburgh,6.2,6.616,1579.8,0.397,,,6.2,6.616,2.6599999999999984,-0.42529411764705816,0.0,0.0,5.464717977839831,30.0,23.9,,78.78,5.5526485623735615
40,Kentucky,5.2,5.366,1475.5,0.193,,,5.2,5.366,-0.8166666666666667,-4.5052941176470584,0.0,0.0,4.34123445607532,26.3,21.1,New HC: Will Stein (first_time_hc) | adj=-1.5pts,79.45,5.898784069504573
41,Baylor,3.8,6.518,1506.3,0.602,,,3.8,6.518,0.2099999999999985,3.6747058823529413,0.0,0.0,4.300290029260936,31.9,28.8,,74.67,3.4293397051967696
42,Wisconsin,3.8,4.818,1501.4,0.31,,,3.8,4.818,0.0466666666666697,-2.1652941176470586,0.0,0.0,4.289016685681119,21.6,17.5,,82.49,7.469309355591539
43,NC State,5.7,3.719,1573.5,0.599,,,5.7,3.719,2.45,3.6147058823529408,0.0,0.0,4.099307019070893,31.0,24.9,,75.29,3.7496442043329306
44,Arizona State,4.9,4.76,1576.3,0.155,,,4.9,4.76,2.5433333333333317,-5.265294117647059,0.0,0.0,4.009978397760329,27.4,22.0,,77.11,4.689892895345522
45,Georgia Tech,5.9,4.186,1566.5,0.126,,,5.9,4.186,2.216666666666667,-5.845294117647058,0.0,0.0,3.9430199162851185,28.7,23.4,,76.31,4.276596767427899
